depth,seed,seq_len,accel_answer,orth_answer,accel_content,orth_content,exit_answer,settle_answer
2,2,180,22.283306121826172,0.4081646502017975,17.186124801635742,0.31384482979774475,16,22
3,0,152,21.117036819458008,0.36112073063850403,18.94267463684082,-0.015190101228654385,15,16
3,1,152,22.309885025024414,0.35558202862739563,19.3768310546875,0.024118460714817047,15,16
3,2,152,22.377033233642578,0.28946399688720703,18.776363372802734,0.029112234711647034,15,16
5,0,293,25.559141159057617,0.44347700476646423,18.84456443786621,0.22824253141880035,16,23
5,1,293,21.955896377563477,0.5259786248207092,18.76766586303711,0.22747839987277985,16,24
5,2,293,22.27254867553711,0.5151332020759583,18.537303924560547,0.24885334074497223,14,23
5,0,284,21.910236358642578,0.44115179777145386,18.077396392822266,0.2861406207084656,14,20
5,1,284,23.898643493652344,0.42413395643234253,18.417800903320312,0.26584988832473755,15,20
5,2,284,22.363563537597656,0.4491790533065796,18.111980438232422,0.2908216714859009,14,19
4,0,243,23.384788513183594,0.45704030990600586,17.47053337097168,0.30861273407936096,15,21
4,1,243,22.242399215698242,0.48432832956314087,17.338598251342773,0.29957929253578186,14,20
4,2,243,22.11801528930664,0.48294925689697266,17.48470115661621,0.3082605302333832,15,21
4,0,189,22.47603416442871,0.4792387783527374,17.236709594726562,0.41882583498954773,15,21
4,1,189,23.286916732788086,0.453773558139801,17.714324951171875,0.4178384840488434,15,20
4,2,189,23.01481819152832,0.4686054289340973,17.895402908325195,0.4078642725944519,15,20
4,0,257,21.838459014892578,0.4725476801395416,18.77806854248047,0.23314052820205688,13,22
4,1,257,22.89630889892578,0.45083341002464294,18.769794464111328,0.2367425113916397,14,22
4,2,257,22.531269073486328,0.4468536078929901,18.6254825592041,0.21116310358047485,14,21
3,0,153,22.913625717163086,0.4263954162597656,18.969284057617188,0.24535420536994934,15,17
3,1,153,22.52145004272461,0.4106629192829132,18.947704315185547,0.25658273696899414,14,16
3,2,153,22.832439422607422,0.42703449726104736,18.809362411499023,0.250126451253891,14,19
3,0,205,22.165807723999023,0.4751375913619995,17.370086669921875,0.2904948890209198,14,22
3,1,205,23.180803298950195,0.4613438546657562,17.402755737304688,0.2864264249801636,14,23
3,2,205,23.19884490966797,0.45572513341903687,17.569826126098633,0.28829512000083923,14,23
