n_ops,kind,task_seed,init_seed,seq_len,winding,steps_settle,contraction,lyap
12,local,0,4,49,0.6350098252296448,14,-0.06688914448022842,-0.04727103854921873
12,track,1,0,46,0.6246639490127563,16,-0.06771297007799149,-0.04871575042687272
12,track,1,1,46,0.6307494640350342,13,-0.06535042077302933,-0.04871575042687272
12,track,1,2,46,0.6374790072441101,14,-0.0681241899728775,-0.04871575042687272
12,track,1,3,46,0.6236546635627747,16,-0.06783701479434967,-0.04871575042687272
12,track,1,4,46,0.6282058954238892,16,-0.06802850216627121,-0.04871575042687272
12,local,1,0,49,0.7073481678962708,13,-0.06705303490161896,-0.04661671590203276
12,local,1,1,49,0.6913045048713684,14,-0.06716715544462204,-0.04661671590203276
12,local,1,2,49,0.7169113755226135,13,-0.06866455078125,-0.04661671590203276
12,local,1,3,49,0.7059719562530518,15,-0.06572484225034714,-0.04661671590203276
12,local,1,4,49,0.7064840197563171,14,-0.06855498999357224,-0.04661671590203276
12,track,2,0,46,0.6309865713119507,13,-0.0677679255604744,-0.04714139421255541
12,track,2,1,46,0.6351392865180969,13,-0.06845861673355103,-0.04714139421255541
12,track,2,2,46,0.6390916705131531,13,-0.06817623972892761,-0.04714139421255541
12,track,2,3,46,0.6288326382637024,15,-0.06701360642910004,-0.04714139421255541
12,track,2,4,46,0.6384156346321106,15,-0.0659744143486023,-0.04714139421255541
12,local,2,0,49,0.7106280326843262,13,-0.06756941974163055,-0.04909506442482437
12,local,2,1,49,0.6960009336471558,13,-0.06703255325555801,-0.04909506442482437
12,local,2,2,49,0.7153812646865845,13,-0.06497445702552795,-0.04909506442482437
12,local,2,3,49,0.7114646434783936,14,-0.06798066943883896,-0.04909506442482437
12,local,2,4,49,0.7102027535438538,13,-0.06689263880252838,-0.04909506442482437
12,track,3,0,46,0.6417988538742065,13,-0.06820633262395859,-0.04869623701275759
12,track,3,1,46,0.6476998329162598,13,-0.06869246810674667,-0.04869623701275759
12,track,3,2,46,0.6479030847549438,13,-0.06931670755147934,-0.04869623701275759
12,track,3,3,46,0.6372889876365662,14,-0.06788922846317291,-0.04869623701275759
12,track,3,4,46,0.6374448537826538,15,-0.06706345826387405,-0.04869623701275759
12,local,3,0,49,0.7116590738296509,13,-0.06707851588726044,-0.04820577229301515
12,local,3,1,49,0.6906805634498596,13,-0.06718645989894867,-0.04820577229301515
12,local,3,2,49,0.7169044017791748,13,-0.06655661761760712,-0.04820577229301515
